venue name,venue id
92nd Street Y,ZFr9jZFAdv
Algonquin Arts Theatre,Z7r9jZa7Tb
Alice Tully Hall,KovZpZAkJFkA
American Beauty NYC,KovZpZAktAlA
Amityville Music Hall,KovZpZAJ7lnA
Apollo Theater,KovZpZA7AAIA
The Appel Room,KovZ917A2q7
Arch Street,KovZpZAJII6A
Arlene's Grocery,KovZpZAFIv7A
Asbury Lanes,KovZpZA1dnaA
At The Tabernacle,KovZpaFEZe
Barclays Center,KovZ917AtP3
Beacon Theatre,KovZpZAEAd6A
The Bell House,KovZpZAFJntA
The Bitter End,ZFr9jZaA6a
Blue Note New York,KovZpZAkJtvA
The Bowery Ballroom,KovZpZA7dkJA
The Bowery Electric,KovZpZAFlaEA
Bristol Riverside Theatre,Z7r9jZa7-n
Brooklyn Bowl,KovZpZAIetFA
Brooklyn Steel,KovZ917AC-V
Café Carlyle,KovZpZAJleAA
Cafe Wha?,KovZpZAFteEA
Canal Room,KovZpZAaFtAA
The Capitol Theatre,KovZ917Ax6H
Carolines On Broadway,KovZpZAdI77A
Carringtons,KovZpa8Ofe
Carteret Performing Arts Center,Z7r9jZa7nj
Central Park,KovZpZA7AIeA
Chappaqua Performing Arts Center,KovZ917A3gf
The Chase Room,KovZ917AxiG
China Club,KovZpZAa1leA
Citi Field,KovZpZAalvtA
Coda,KovZ917Atc8
Colden Auditorium,KovZpZA7A6tA
Comedy Cellar,Z698xZL4ZaFFM
Confetti,KovZpZAnvIvA
Continental,KovZ9177AY0
Convention Hall,KovZpZAdnEaA
The Cooler,Z698xZL4Za52K
The Crazy Donkey,KovZpZAFkn7A
Cricket Club,KovZ9177EKV
CURE Insurance Arena,KovZ917AOlY
The Cutting Room,KovZpZAJEaeA
Danbury Arena,Z7r9jZa77u
David Geffen Hall,KovZpZAIElvA
Debonair Music Hall,Z7r9jZadS5
Drom,KovZpZAdtevA
Eisenhower Hall Theatre,KovZpa6q0e
Elbow Room,Z598xZL4ZA711
Elsewhere,KovZpZA6enaA
Emelin Theatre,ZFr9jZ6eev
Ford Amphitheater At Coney Island Boardwalk,KovZ917A-nm
Forest Hills Stadium,KovZpZA777nA
Garcia's At The Capitol Theatre,KovZ917Axan
The Gramercy Theatre,KovZpZAEAdaA
Grand Ballroom,KovZpZAaJ1vA
The Great Auditorium,ZFr9jZk1FF
The Hall At MP,KovZ917Afn0
Hammerstein Ballroom,KovZpZAEAE6A
Hard Rock Cafe,KovZpZAllE6A
Hartford Healthcare Amphitheater,KovZ917Ax8x
Hopewell Theater,Z7r9jZadsR
House Of Independents,KovZpZAknJkA
iHeartRadio Theater,Z7r9jZaeEe
The Iridium,KovZpZAJeJnA
Irving Plaza,KovZpaFPje
Irvington Town Hall Theater,KovZpZAFEleA
Jazz Standard,KovZpZAFIaaA
Joe's Pub,ZFr9jZdAkd
The Junkyard,KovZ917AI2V
The Kaye Playhouse,KovZpZAatkJA
The Kings Hall At Avant Gardner,KovZpZA67IvA
Kings Theatre,KovZpZAJEa6A
The Klein,ZFr9jZkAAk
Knockdown Center,KovZpZAEteAA
Krome,KovZpZAaFIaA
Langosta Lounge,KovZpZAFdllA
LeFrak Concert Hall,KovZ917AG0V
The Living Room,KovZpZAF66tA
Longacre Theatre,KovZ917A2s7
Lucille Lortel Theatre,Z6r9jZ1kde
Madison Square Garden,KovZpZA7AAEA
Manhattan Center,KovZpZAEAE6A
Market Hotel,KovZpZA6AInA
Marquee New York,KovZ917AQXF
Mayo Performing Arts Center,KovZpa90Xe
McCarter Theatre,KovZpZAIF7nA
Meadowlands Expo Center,KovZpZAataEA
Melrose Ballroom,KovZpZAEFelA
Memorial Auditorium,KovZpZAalAdA
Mercer County Waterfront Park,KovZpa9tXe
The Mercury Lounge,KovZpZAFnAIA
Mertens Theatre,KovZpZA1Ea7A
Monmouth Park,KovZpZAdln6A
Music Hall Of Williamsburg,KovZpZA77eIA
National Sawdust,KovZ917AtoJ
New York City Center,KovZpZAE7vdA
The Newton Theatre,KovZpZAFEE6A
Nickelodeon Universe Theme Park,KovZ917AI1X
Northwell Health At Jones Beach Theater,KovZpZAE6eAA
NYCB Theatre At Westbury,KovZpZAEAEaA
OceanFirst Bank Center,KovZ917Ah21
O'Neill Center,KovZpZA1el6A
The Osprey,rZ7HnEZ17feAg
Outpost In The Burbs,KovZpZAFJElA
Palace Theatre,KovZpZAJE1vA
The Palace Theatre,KovZpZA1ttkA
Palladium Times Square,KovZpaFtpe
The Paramount,KovZpZAEAEtA
Paramount Theatre,KovZpZAFkvEA
Parx Casino,KovZ917AtPj
Patriots Theater At The War Memorial,KovZpZA1EtlA
Pianos,KovZpZAFI76A
Plaid,KovZpZA1JvlA
Plymouth Rock Assurance Arena,KovZpZAat1vA
PNC Bank Arts Center,KovZpZAEAIIA
Pollak Theatre,KovZ917AOw1
Profundo Day Club,KovZpZA6etdA
Prudential Center,KovZpZAE7vaA
Prudential Hall,KovZ917Axie
Queens Theatre In The Park,ZFr9jZkdk7
Radio City Music Hall,KovZpZAE7vdA
Red Bull Arena,KovZpZAatEaA
Rehab,KovZpaKqbe
Richardson Auditorium,KovZpZA11J1A
Richmond County Bank Ballpark,KovZpapJHe
Ridgefield Playhouse,KovZpZAJnEeA
Rise,Z698xZL4Za5yP
Rockwood Music Hall Stage 2,Z7r9jZaecG
Rockwood Music Hall Stage 3,Z7r9jZa7dz
The Rooftop at Pier 17,KovZ917A_QV
Rothman Center,Z7r9jZadcn
Roulette,KovZpa4Eee
Rumsey Playfield / Central Park,KovZpZAdIFdA
The Saint,KovZpZA6eJkA
Satalla,KovZpZA1JvnA
School of Rock East,KovZpZAdltlA
Shine,KovZpZA7vnFA
Showroom,KovZ917AABV
Slake,KovZpZAJeanA
S.O.B.'S,KovZpZAF6AIA
Sony Hall,KovZ917Ah5Q
The Sports Bar @ Webster Hall,KovZpZAJd7tA
St. Ann's Warehouse,KovZpZAFknFA
Stage 48,KovZpaF1Qe
Stanhope House,KovZpZAFJl7A
Starland Ballroom,KovZpaFbwe
The Starlight Room,KovZ917Axwj
State Theatre New Jersey,KovZpZAEAd6A
Stern Aud. / Perelman Stage,ZFr9jZ117e
Stone Pony,KovZpZAatk1A
Stone Pony Summer Stage,KovZpZAatk1A
The Strand Center For The Arts,KovZpZA6knFA
Student Recreation Center,KovZpZAEAklA
Studio B,ZFr9jZkdak
The Studio @ Webster Hall,KovZpZAatkFA
Sugar Loaf Performing Arts Center,KovZpZAJ6vdA
Sunnyvale,KovZpZAktJJA
Sunshine Theater,KovZpapEQe
Symphony Space,KovZpZA1Jv6A
Terminal 5,KovZpZAFkn6A
Terrace Club,KovZpaKJ3e
Theatre Three,KovZpZA1IEkA
Total Mortgage Arena,KovZpZA6taEA
Town Hall,KovZpZAFdJtA
Tribeca Performing Arts Center,KovZpZAat1AA
UBS Arena,KovZ917APye
Union County Performing Arts Center,KovZpZA7dtlA
Union Hall,KovZpZA6dt1A
United Palace,KovZpZAaadEA
Upstairs Lounge,KovZpZA6JaAA
Victoria Theater,KovZ917AJsB
Village Underground,KovZ9177OP0
Walter Kerr Theatre,KovZpZAEktkA
The Warehouse at FTC,KovZ917AoA0
Webster Hall,KovZpa6WFe
The Wellmont Theater,KovZpZAJvIeA
The Westbury Theater,KovZpZAJvEIA
Westchester County Center,KovZpZAFdlAA
The Westway,Z7r9jZaeqY
White Eagle Hall,KovZpZAFIt1A
Yankee Stadium,KovZpZA6t77A
